Ciclo_Estacion,Status_2022-01-30_00_00
1,OUT OF SERVICE
2,OK
3,OK
4,OK
5,OK
6,OK
7,OK
8,OK
9,OK
10,OK
11,OK
12,OK
13,OK
14,OK
15,OK
16,OK
17,OK
18,OK
19,OK
20,OK
21,OK
22,OK
23,OK
24,OK
25,OUT OF SERVICE
26,OK
27,OK
28,OK
29,OK
30,OUT OF SERVICE
31,OK
32,OK
33,OK
34,OUT OF SERVICE
35,OK
36,OK
37,OK
38,OK
39,OK
40,OK
41,OK
42,OK
43,OK
44,OK
45,OUT OF SERVICE
46,OK
47,OK
48,OK
49,OK
50,OK
51,OK
52,OK
53,OK
54,OK
55,OK
56,OK
57,OK
58,OK
59,OK
60,OK
61,OK
62,OK
63,OK
64,OK
65,OK
66,OK
67,OK
68,OK
69,OK
70,OK
71,OK
72,OK
73,OK
74,OK
75,OK
76,OK
77,OK
78,OK
79,OK
80,OUT OF SERVICE
81,OK
82,OK
83,OK
84,OK
85,OK
86,OK
87,OK
88,OK
89,OK
90,OK
91,OK
92,OK
93,OK
94,OK
95,OK
96,OK
97,OUT OF SERVICE
98,OK
99,OK
100,OK
101,OK
102,OK
103,OK
104,OK
105,OK
106,OK
107,OK
108,OK
109,OK
110,OK
111,OK
112,OK
113,OK
114,OK
115,OK
116,OK
117,OK
118,OK
119,OK
120,OK
121,OK
122,OK
123,OK
124,OK
125,OK
126,OK
127,OK
128,OK
129,OK
130,OK
131,OK
132,OK
133,OK
134,OK
135,OK
136,OK
137,OK
138,OUT OF SERVICE
139,OK
140,OK
141,OK
142,OK
143,OK
144,OK
145,OK
146,OK
147,OK
148,OK
149,OK
150,OUT OF SERVICE
151,OUT OF SERVICE
152,OUT OF SERVICE
153,OUT OF SERVICE
154,OUT OF SERVICE
155,OK
156,OK
157,OK
158,OK
159,OK
160,OK
161,OK
162,OK
163,OK
164,OK
165,OK
166,OK
167,OK
168,OK
169,OK
170,OK
171,OK
172,OK
173,OK
174,OK
175,OK
176,OK
177,OK
178,OK
179,OK
180,OK
181,OK
182,OK
183,OK
184,OK
185,OK
186,OK
187,OK
188,OK
189,OK
190,OK
191,OK
192,OK
193,OK
194,OUT OF SERVICE
195,OK
196,OK
197,OK
198,OUT OF SERVICE
199,OK
200,OK
201,OUT OF SERVICE
202,OK
203,OK
204,OK
205,OUT OF SERVICE
206,OK
207,OK
208,OK
209,OUT OF SERVICE
210,OK
211,OK
212,OK
213,OK
214,OK
215,OK
216,OK
217,OK
218,OK
219,OK
220,OK
221,OK
222,OK
223,OK
224,OK
225,OK
226,OK
227,OK
228,OK
229,OK
230,OK
231,OK
232,OK
233,OK
234,OK
235,OK
236,OK
237,OK
238,OK
239,OK
240,OK
241,OK
242,OK
243,OK
244,OK
245,OK
246,OK
247,OK
248,OK
249,OK
250,OK
251,OK
252,OK
253,OK
254,OK
255,OK
256,OK
257,OK
258,OK
259,OK
260,OK
261,OK
262,OK
263,OK
264,OK
265,OK
266,OK
267,OK
268,OK
269,OK
270,OK
271,OK
272,OK
273,OK
274,OK
275,OK
276,OK
277,OK
278,OK
279,OK
280,OK
281,OK
282,OK
283,OK
284,OK
285,OK
286,OK
287,OK
288,OK
289,OK
290,OK
291,OK
292,OK
293,OK
294,OK
295,OK
296,OK
297,OK
298,OK
299,OK
300,OK
301,OK
302,OK
303,OK
304,OK
305,OK
306,OK
307,OK
308,OK
309,OK
310,OK
311,OK
312,OK
313,OK
314,OK
315,OK
316,OK
317,OK
318,OK
319,OK
320,OK
321,OK
322,OK
323,OK
324,OK
325,OK
326,OK
327,OK
328,OK
329,OK
330,OK
331,OK
332,OK
333,OK
334,OK
335,OK
336,OK
337,OK
338,OK
339,OK
340,OK
341,OK
342,OK
343,OK
344,OK
345,OK
346,OK
347,OK
348,OK
349,OK
350,OK
351,OK
352,OK
353,OK
354,OK
355,OK
356,OK
357,OK
358,OK
359,OK
360,OK
361,OK
362,OK
363,OK
364,OK
365,OK
366,OK
367,OK
368,OK
369,OK
370,OK
371,OK
372,OK
373,OK
374,OK
375,OK
376,OK
377,OK
378,OK
379,OK
380,OK
381,OK
382,OK
383,OK
384,OK
385,OK
386,OK
387,OK
388,OK
389,OK
390,OK
391,OK
392,OK
393,OK
394,OK
395,OK
396,OK
397,OK
398,OK
399,OK
400,OK
401,OK
402,OK
403,OK
404,OK
405,OK
406,OK
407,OK
408,OK
409,OK
410,OK
411,OK
412,OK
413,OK
414,OK
415,OK
416,OK
417,OK
418,OK
419,OK
420,OK
421,OK
422,OK
423,OK
424,OK
425,OK
426,OK
427,OK
428,OK
429,OK
430,OK
431,OK
432,OK
433,OK
434,OK
435,OK
436,OK
437,OK
438,OK
439,OK
440,OK
441,OK
442,OK
443,OK
444,OK
445,OK
446,OK
447,OK
448,OK
449,OK
4500,OK
4510,OK
4520,OK
4530,OK
4540,OK
4550,OK
4560,OK
4570,OK
4580,OK
4590,OK
4600,OK
4610,OK
4620,OK
4630,OUT OF SERVICE
4640,OUT OF SERVICE
4650,OUT OF SERVICE
4660,OK
4670,OK
4680,OK
4690,OK
4700,OK
4710,OK
4720,OK
4730,OK
4740,OK
4750,OK
4760,OK
4770,OK
4780,OK